iter	Passed	Remaining
0	12	12704
1	20	10110
2	31	10489
3	43	10809
4	55	10989
5	66	11070
6	78	11070
7	88	11031
8	100	11029
9	110	10979
10	122	10997
11	133	10974
12	144	10937
13	155	10937
14	166	10950
15	172	10625
16	184	10652
17	192	10496
18	200	10334
19	212	10398
20	223	10399
21	234	10431
22	246	10469
23	252	10279
24	264	10321
25	272	10200
26	284	10240
27	295	10257
28	306	10261
29	316	10231
30	327	10226
31	338	10231
32	349	10251
33	361	10261
34	372	10278
35	383	10282
36	395	10295
37	407	10310
38	418	10322
39	430	10325
40	441	10327
41	453	10333
42	464	10327
43	468	10178
44	479	10175
45	490	10181
46	502	10186
47	513	10188
48	524	10178
49	536	10187
50	547	10180
51	558	10185
52	570	10188
53	581	10185
54	592	10182
55	602	10162
56	613	10156
57	625	10153
58	636	10150
59	647	10145
60	657	10120
61	668	10113
62	679	10112
63	690	10103
64	702	10101
65	713	10096
66	720	10035
67	731	10031
68	742	10022
69	754	10020
70	765	10022
71	777	10024
72	784	9963
73	795	9957
74	806	9951
75	818	9945
76	829	9943
77	840	9940
78	849	9901
79	860	9895
80	867	9844
81	878	9837
82	890	9836
83	897	9791
84	909	9785
85	920	9780
86	931	9775
87	942	9770
88	954	9768
89	966	9768
90	977	9763
91	988	9757
92	1000	9759
93	1011	9753
94	1023	9751
95	1030	9704
96	1042	9702
97	1053	9695
98	1065	9694
99	1077	9694
100	1088	9692
101	1100	9689
102	1111	9683
103	1122	9671
104	1133	9665
105	1145	9661
106	1157	9658
107	1167	9646
108	1179	9640
109	1191	9640
110	1202	9632
111	1208	9584
112	1220	9582
113	1227	9543
114	1238	9534
115	1250	9529
116	1260	9513
117	1272	9509
118	1283	9503
119	1295	9498
120	1306	9490
121	1318	9485
122	1329	9480
123	1336	9442
124	1348	9436
125	1359	9428
126	1370	9421
127	1382	9416
128	1393	9412
129	1405	9407
130	1417	9402
131	1429	9399
132	1440	9391
133	1451	9381
134	1462	9369
135	1473	9363
136	1486	9362
137	1498	9359
138	1509	9351
139	1521	9345
140	1532	9336
141	1537	9290
142	1549	9283
143	1560	9277
144	1572	9270
145	1583	9262
146	1593	9245
147	1604	9239
148	1615	9229
149	1626	9219
150	1638	9212
151	1649	9204
152	1661	9199
153	1673	9190
154	1684	9183
155	1692	9155
156	1703	9145
157	1714	9136
158	1725	9126
159	1737	9120
160	1747	9104
161	1758	9094
162	1769	9087
163	1781	9079
164	1792	9070
165	1803	9061
166	1814	9051
167	1825	9041
168	1837	9034
169	1848	9026
170	1860	9018
171	1871	9010
172	1882	9001
173	1893	8988
174	1900	8959
175	1912	8952
176	1923	8944
177	1934	8935
178	1946	8927
179	1957	8918
180	1969	8910
181	1980	8900
182	1991	8890
183	2002	8882
184	2014	8874
185	2025	8864
186	2036	8853
187	2047	8845
188	2059	8835
189	2069	8823
190	2080	8812
191	2091	8803
192	2103	8793
193	2114	8783
194	2124	8769
195	2136	8762
196	2147	8753
197	2159	8746
198	2170	8737
199	2181	8726
200	2192	8714
201	2203	8705
202	2208	8672
203	2220	8664
204	2230	8651
205	2242	8642
206	2253	8634
207	2260	8606
208	2271	8596
209	2283	8589
210	2293	8576
211	2305	8569
212	2316	8559
213	2327	8550
214	2339	8541
215	2350	8532
216	2362	8524
217	2373	8515
218	2385	8505
219	2396	8495
220	2407	8486
221	2418	8475
222	2429	8464
223	2440	8454
224	2451	8444
225	2462	8434
226	2470	8411
227	2482	8404
228	2489	8380
229	2497	8361
230	2509	8353
231	2520	8344
232	2531	8334
233	2543	8326
234	2551	8304
235	2559	8284
236	2570	8276
237	2582	8267
238	2594	8259
239	2605	8250
240	2616	8240
241	2627	8229
242	2638	8220
243	2650	8211
244	2661	8201
245	2668	8178
246	2680	8170
247	2691	8161
248	2703	8154
249	2714	8144
250	2725	8133
251	2737	8124
252	2747	8113
253	2758	8102
254	2770	8094
255	2781	8084
256	2792	8073
257	2803	8063
258	2810	8039
259	2821	8030
260	2833	8021
261	2845	8014
262	2850	7988
263	2862	7980
264	2873	7970
265	2884	7960
266	2896	7950
267	2908	7943
268	2914	7919
269	2925	7910
270	2937	7901
271	2948	7892
272	2960	7884
273	2966	7860
274	2978	7852
275	2989	7841
276	3000	7832
277	3009	7814
278	3020	7805
279	3031	7795
280	3042	7784
281	3053	7774
282	3065	7766
283	3076	7757
284	3087	7746
285	3099	7737
286	3110	7728
287	3121	7717
288	3133	7708
289	3144	7697
290	3155	7688
291	3162	7668
292	3174	7660
293	3186	7651
294	3197	7642
295	3209	7632
296	3220	7622
297	3231	7612
298	3243	7603
299	3254	7594
300	3266	7585
301	3277	7576
302	3289	7567
303	3300	7557
304	3312	7548
305	3323	7537
306	3334	7527
307	3345	7517
308	3357	7507
309	3368	7497
310	3380	7488
311	3390	7477
312	3402	7467
313	3413	7458
314	3425	7449
315	3436	7439
316	3448	7429
317	3459	7419
318	3470	7409
319	3482	7400
320	3493	7390
321	3505	7381
322	3516	7371
323	3527	7360
324	3539	7351
325	3551	7342
326	3563	7333
327	3569	7313
328	3581	7304
329	3593	7296
330	3604	7286
331	3616	7276
332	3622	7255
333	3633	7246
334	3645	7236
335	3656	7225
336	3668	7216
337	3679	7206
338	3687	7190
339	3698	7180
340	3709	7169
341	3721	7159
342	3730	7144
343	3737	7126
344	3747	7115
345	3759	7106
346	3770	7095
347	3782	7086
348	3793	7076
349	3800	7057
350	3811	7048
351	3822	7037
352	3834	7027
353	3845	7017
354	3856	7006
355	3867	6996
356	3878	6986
357	3889	6975
358	3901	6965
359	3912	6955
360	3924	6945
361	3935	6935
362	3946	6925
363	3957	6915
364	3968	6904
365	3980	6894
366	3991	6884
367	4002	6873
368	4014	6864
369	4024	6852
370	4035	6841
371	4046	6831
372	4057	6820
373	4069	6811
